Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Punishment Pack choice?
10/30/2022 18:40:46,Ash T - TreeGoblin#16976,John P - gokuorgohome#51511,2-1,,1,,,
10/30/2022 18:41:44,Sawyer T - soyboy#35469,Jeremy E - Lhurgoyf#37289,2-1,,1,,,
10/30/2022 19:14:02,Jake C - the_man_mulcahey#74753,Ash T - TreeGoblin#16976,2-0,,1,,,
10/30/2022 20:37:50,Sawyer T - soyboy#35469,Michael M - Atombomb11991#07305,2-1,,1,,,
10/30/2022 20:48:04,Mitchel S - SpaghettiMitch#18619,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,,
10/30/2022 21:31:50,Dan A - BEATDOWNBRINGA#04779,Maxime R - Tasigurr#89921,2-0,,1,,,
10/30/2022 21:50:23,Mitchel S - SpaghettiMitch#18619,Caleb G - Whynaut#28590,2-1,,1,,,
10/30/2022 21:53:57,Steve T - strout#45062,Nicholas P - Ami3vil?#84889,2-0,,1,GRN!,,
10/30/2022 23:49:37,Maxime R - Tasigurr#89921,Maranda L - BlackCanary#59791,2-0,,1,,,
10/31/2022 0:20:44,Jeremy E - Lhurgoyf#37289,Ben DP - bdp18#67423,2-0,,1,,,
10/31/2022 1:10:43,Joel L - Instinctive#21903,Adam S - Wizma#29010,2-1,,1,ggs wp,,
10/31/2022 2:32:33,Paul G - TheDragon#61289,Joel L - Instinctive#21903,2-0,,1,,,
10/31/2022 13:52:33,Ben A - JankInTheTank#50714,John P - gokuorgohome#51511,2-1,,1,,,
10/31/2022 14:32:36,Nicholas P - Ami3vil?#84889,Noah B - Sisco#71800,2-0,,1,GGs!,,
10/31/2022 15:22:40,Nicholas P - Ami3vil?#84889,Richard K - preacher26#59445,2-1,,1,GGs!!!,,
10/31/2022 16:24:23,Aaron H - UlamogOurSaviour#56444,Chris P - Joker01#66827,2-0,,1,,,
10/31/2022 16:47:14,Joel L - Instinctive#21903,Noah B - Sisco#71800,2-0,,1,ggs wp,,
10/31/2022 20:43:54,Cody-Rayce MG - Rayce#56572,Michael M - Atombomb11991#07305,2-1,,1,ggs bud,,
10/31/2022 20:45:37,Chris R - Sinkwater#27508,Nik S - njsiii#50504,2-1,,1,,,
10/31/2022 21:02:31,Caleb G - Whynaut#28590,Chris Y - Yorke on Games#66909,2-1,,1,,,
10/31/2022 21:05:03,Sawyer T - soyboy#35469,Andrew A - Mapo Dofu#77365,2-0,,1,,,
10/31/2022 21:29:53,Nik S - njsiii#50504,Cody-Rayce MG - Rayce#56572,2-1,,1,,,
10/31/2022 21:58:38,Sawyer T - soyboy#35469,Damian S - ButCrackMagic#71223,2-1,,1,,,
10/31/2022 22:06:13,Chris R - Sinkwater#27508,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,
10/31/2022 22:21:40,Jordan M - JMTron#46639,Damian S - ButCrackMagic#71223,2-0,,1,,,
10/31/2022 23:36:47,Zeke W - smarmyplatapus#30066,Aaron H - UlamogOurSaviour#56444,2-0,,1,,,
11/1/2022 16:58:13,Noah B - Sisco#71800,Adam S - Wizma#29010,2-1,,1,,,
11/1/2022 18:18:16,Chris R - Sinkwater#27508,John R - Ged#72302,2-0,,1,,,
11/1/2022 20:15:40,Christopher G - oompaloompa#65002,Nik S - njsiii#50504,2-1,,1,,,
11/1/2022 21:02:12,Jason M - experientialist#23057,Rafael F - Prudent#24319,2-1,,1,,,
11/1/2022 21:50:11,Kyle W - EtherEngineer#51748,John R - Ged#72302,2-0,,1,,,
11/1/2022 21:50:44,Michael M - Atombomb11991#07305,Chris R - Sinkwater#27508,2-1,,1,,,
11/1/2022 22:18:51,Michael M - Atombomb11991#07305,Rafael F - Prudent#24319,2-0,,1,,,
11/1/2022 22:47:48,Joel L - Instinctive#21903,Nik S - njsiii#50504,2-0,,1,ggs wp,,
11/1/2022 23:00:54,Jake C - the_man_mulcahey#74753,Steve T - strout#45062,2-0,,1,,,
11/1/2022 23:19:42,Cody-Rayce MG - Rayce#56572,Sylvain T - Iquitos#15484,2-0,,1,ggs buddy ,,
11/1/2022 23:41:22,Jake C - the_man_mulcahey#74753,Ryan D - TheSlickness#10857,2-0,,1,,,
11/2/2022 0:06:53,Kyle W - EtherEngineer#51748,Christopher G - oompaloompa#65002,2-1,,1,,,
11/2/2022 0:52:09,Christopher G - oompaloompa#65002,Ryan D - TheSlickness#10857,2-1,,1,,,
11/2/2022 14:06:15,Aaron H - UlamogOurSaviour#56444,Joel L - Instinctive#21903,2-1,,1,,,
11/2/2022 15:03:49,Chris P - Joker01#66827,Ryan D - TheSlickness#10857,2-1,,1,,,
11/2/2022 15:34:20,Andy P - TheWonderfulAndy#61401,Ben A - JankInTheTank#50714,2-0,,1,,,
11/2/2022 16:05:46,Daniel M - HPWizard#40332,Andy P - TheWonderfulAndy#61401,2-0,,1,,,
11/2/2022 16:25:00,Richard K - preacher26#59445,Ben A - JankInTheTank#50714,2-1,,1,,,
11/2/2022 17:40:35,Richard K - preacher26#59445,Chris P - Joker01#66827,2-1,,1,,,
11/2/2022 19:14:39,Mitchel S - SpaghettiMitch#18619,Tony G - YnotRock#76764,2-0,,1,,,
11/2/2022 20:13:21,Aaron H - UlamogOurSaviour#56444,Nik S - njsiii#50504,2-1,,1,,,
11/2/2022 21:43:37,Chris R - Sinkwater#27508,Andrew A - Mapo Dofu#77365,2-0,,1,,,
11/2/2022 23:06:26,Adam S - Wizma#29010,Sylvain T - Iquitos#15484,2-0,,1,Good games!,,
11/3/2022 1:42:18,Aaron H - UlamogOurSaviour#56444,Sylvain T - Iquitos#15484,2-0,,1,,,
11/3/2022 13:21:47,Adam S - Wizma#29010,Tony G - YnotRock#76764,2-1,,1,"Very close, sorry about the ascendency!",,
11/3/2022 14:06:02,Tony G - YnotRock#76764,John R - Ged#72302,2-0,,1,,,
11/3/2022 14:48:36,Tony G - YnotRock#76764,Chris P - Joker01#66827,2-0,,1,,,
11/3/2022 18:44:45,Bill D - Cato Phoenix#70805,Oskar T - ossytubbi#87966,2-0,,1,,,
11/3/2022 19:50:37,Bill D - Cato Phoenix#70805,Daniel M - HPWizard#40332,2-1,,1,,,
11/3/2022 21:08:28,Mitchel S - SpaghettiMitch#18619,Jason M - experientialist#23057,2-0,,1,,,
11/3/2022 22:04:01,Jason M - experientialist#23057,John R - Ged#72302,2-1,,1,,,
11/3/2022 22:07:49,Kyle W - EtherEngineer#51748,Ryan D - TheSlickness#10857,2-0,,1,,,
11/4/2022 0:42:31,Jake C - the_man_mulcahey#74753,Ben DP - bdp18#67423,2-0,,1,,,
11/4/2022 1:50:19,Damian S - ButCrackMagic#71223,Bill D - Cato Phoenix#70805,2-1,,1,,,
