Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes
5/7/2022 9:02:49,Sam G - drinsanity#06844,Oskar T - ossytubbi#87966,2-0,,1,sat may 7th 9am
5/7/2022 9:36:55,Serge T - Sergyboy514#39979,Nguyen L - TheFancyPenguin#82137,2-1,,1,
5/7/2022 9:39:47,Noel S - Stopgap#13873,Jakub K - Terrence McKenna#95766,2-0,,1,
5/7/2022 9:57:43,Sam G - drinsanity#06844,Nguyen L - TheFancyPenguin#82137,2-0,,1,sat may 7 930am
5/7/2022 9:59:34,Adam S - wizma#29010,David R - Roooster#49289,2-0,,1,Great games gl!
5/7/2022 10:19:48,Sam G - drinsanity#06844,Noel S - Stopgap#13873,2-0,,1,sat may 7th 10am ish 
5/7/2022 10:20:35,Martin E - Meep#87492,Nguyen L - TheFancyPenguin#82137,2-0,,1,
5/7/2022 11:17:17,Nik S - njs#50504,Marley L - BeautyAndTheGitrog#98732,2-0,,1,
5/7/2022 11:48:29,Mike G - eatmecompletely#43399,Daniel M - HPWizard#40332,2-0,,1,
5/7/2022 11:55:07,Mike P - UnwieldyBiscuit#26471,Joe T - elasticity#07466,2-1,,1,gg
5/7/2022 11:58:08,Marley L - BeautyAndTheGitrog#98732,Erika P - CharmToy#24980,2-1,,1,
5/7/2022 12:07:08,Jay S - trainyaj#13755,Randy F - Ezrem#08922,2-1,,1,
5/7/2022 12:26:55,Zeke W - smarmyplatapus#30066,Daniel M - HPWizard#40332,2-1,,1,
5/7/2022 12:29:07,Gordon C - Chocobro#30910,Erika P - CharmToy#24980,2-0,,1,
5/7/2022 12:44:10,Sean Sm - UnknownThursday#95034,Gordon C - Chocobro#30910,2-0,,1,
5/7/2022 12:46:32,Jake C - the_man_mulcahey#74753,Jay S - trainyaj#13755,2-1,,1,
5/7/2022 12:53:18,Christopher G - oompaloompa#65002,Nik S - njs#50504,2-0,,1,
5/7/2022 13:07:13,Shuo L - Tamamo#30654,Randy F - Ezrem#08922,2-1,,1,
5/7/2022 13:11:26,Andrew A - Mapo Dofu#77365,David R - Roooster#49289,2-0,,1,
5/7/2022 13:20:55,Mike G - eatmecompletely#43399,Calvin Z - extrAme#05753,2-0,,1,
5/7/2022 13:33:32,Helge B - turd_burglar#45671,Christopher G - oompaloompa#65002,2-1,,1,
5/7/2022 13:41:35,Nik S - njs#50504,Mats K - MakroGames#12872,2-0,,1,
5/7/2022 13:43:33,Jay S - trainyaj#13755,Shuo L - Tamamo#30654,2-0,,1,
5/7/2022 13:54:45,Sean Sm - UnknownThursday#95034,Cameron K - Camzillanator#66654,2-1,,1,
5/7/2022 13:59:52,Johnny M - Johnny#69519,Helge B - turd_burglar#45671,2-1,,1,
5/7/2022 14:07:01,Andrew A - Mapo Dofu#77365,Jay S - trainyaj#13755,2-0,,1,
5/7/2022 14:13:52,Christopher G - oompaloompa#65002,Calvin Z - extrAme#05753,2-1,,1,
5/7/2022 14:25:59,Johnny M - Johnny#69519,Mats K - MakroGames#12872,2-0,,1,
5/7/2022 16:15:49,Carson C - carsoncaruso#98225,Coleman N - avo#92320,2-0,,1,
5/7/2022 16:43:23,Steve T - strout#45062,Cody-Rayce MG - Rayce#56572,2-0,,1,
5/7/2022 17:00:06,Carson C - carsoncaruso#98225,Gordon C - Chocobro#30910,2-1,,1,
5/7/2022 17:03:36,Jeremy E - Lhurgoyf#37289,Nicholas P - Ami3vil?#84889,2-0,,1,
