Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Punishment Pack choice?
11/19/2022 11:39:00,Lotte P - Lotte #93345,James MI - ImJolt#28410,2-1,,1,,,
11/19/2022 11:53:35,Paul G - TheDragon#61289,Carl C - TechnicolourArborist#38665,2-1,,1,,,
11/19/2022 12:21:59,Marley L - BeautyAndTheGitrog#98732,James MI - ImJolt#28410,2-0,,1,,,
11/19/2022 12:25:18,Mike G - eatmecompletely#43399,Serge T - Sergyboy514#39979,2-1,,1,,,
11/19/2022 12:46:44,Lotte P - Lotte #93345,Carl C - TechnicolourArborist#38665,2-1,,1,,,
11/19/2022 12:55:44,Jordan M - JMTron#46639,Christopher G - oompaloompa#65002,2-1,,1,,,
11/19/2022 12:57:11,Caleb G - Whynaut#28590,Marshall W - Scribbles#92472,2-0,,1,,,
11/19/2022 12:57:51,Nik S - njsiii#50504,Serge T - Sergyboy514#39979,2-0,,1,,,
11/19/2022 13:12:08,Kyle W - EtherEngineer#51748,Joel L - Instinctive#21903,2-0,,1,,,
11/19/2022 13:34:31,Carl C - TechnicolourArborist#38665,Daniel G - Friskyhobbit#43185,2-1,,1,,,
11/19/2022 14:24:21,Sawyer T - soyboy#35469,Michael M - Atombomb11991#07305,2-0,,1,,,
11/19/2022 14:59:34,Joel L - Instinctive#21903,James MI - ImJolt#28410,2-0,,1,ggs wp,,
11/19/2022 15:14:45,Raghu B - Midnitfalcon#19670,Thomas H - fromcero#98384,2-0,,1,,,
11/19/2022 15:20:11,Eric C - ecope#39827,Sawyer T - soyboy#35469,2-1,,1,,,
11/19/2022 15:56:37,Jordan M - JMTron#46639,Joel L - Instinctive#21903,2-1,,1,,,
11/19/2022 16:22:04,Chris F - cferejohn#08269,Thomas H - fromcero#98384,2-0,,1,,,
11/19/2022 16:37:10,Patrick M - FullestJ#22936,Richard K - preacher26#59445,2-1,,1,,,
11/19/2022 16:50:53,Serge T - Sergyboy514#39979,Daniel J - Insequent#82225,2-1,,1,,,
11/19/2022 17:51:00,Jeremy E - Lhurgoyf#37289,Mike P - UnwieldyBiscuit#26471,2-0,,1,,,
11/19/2022 19:10:44,Sawyer T - soyboy#35469,Olivier F - NephilimOli#21523,2-1,,1,,,
11/19/2022 19:12:32,John P - gokuorgohome#51511,Marshall W - Scribbles#92472,2-0,,1,,,
11/19/2022 19:32:22,Sawyer T - soyboy#35469,Thomas H - fromcero#98384,2-0,,1,,,
11/19/2022 20:16:54,Edgar A - PlayfulTerror#04926,Peter C - Lens Blair#41153,2-1,,1,good games,,
11/19/2022 20:50:17,Daniel J - Insequent#82225,Trevor T - Sirtydanchez#87149,2-1,,1,,,
11/19/2022 21:22:46,Greg M - grapereaper#84747,Steve T - strout#45062,2-0,,1,,,
11/19/2022 22:09:43,Zeke W - smarmyplatapus#30066,Trevor T - Sirtydanchez#87149,2-0,,1,,,
11/19/2022 22:17:39,David S - SirLossore#88647,Greg M - grapereaper#84747,2-0,,1,,,
11/19/2022 23:05:58,David S - SirLossore#88647,Damian S - ButCrackMagic#71223,2-0,,1,,,
11/19/2022 23:28:56,David S - SirLossore#88647,Rafael F - Prudent#24319,2-1,,1,,,
11/20/2022 0:08:41,Nik S - njsiii#50504,Jacob C - Breadlord#83962,2-0,,1,,,
11/20/2022 0:28:19,Sylvain T - Iquitos#15484,Patrick M - FullestJ#22936,2-1,,1,GGs,,
11/20/2022 1:13:43,Jonathan R - Jraps#79124,Shuo L - Tamamo#30654,2-1,,1,,,
11/20/2022 8:31:12,Krzys H - FaceBeardMcBeard#24731,Lotte P - Lotte #93345,2-1,,1,,,
11/20/2022 9:01:40,John R - Ged#72302,Greg M - grapereaper#84747,2-1,,1,Thanks for the great games!,,
11/20/2022 9:37:37,John R - Ged#72302,Krzys H - FaceBeardMcBeard#24731,2-0,,1,Awesome games! Good luck!,,
11/20/2022 10:02:54,Oskar T - ossytubbi#87966,Lotte P - Lotte #93345,2-1,,1,,,
