Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Winner Game Wins,Loser Game Wins,Week,Week Value,Week Start (PST)
4/10/2022 17:46:18,John L - fightstrife#66069,Robby P - Locke_009#22200,2-1,,1,ggs!,,,,,,
4/10/2022 18:02:01,Jordan P - chunkieluver53#92811,Richard K - preacher26#59445,2-1,,1,,,,,,,
4/10/2022 19:41:26,Caleb G - Whynaut#28590,Andrew A - Mapo Dofu#77365,2-1,,1,,,,,,,
4/10/2022 20:12:38,Zeke W - smarmyplatapus#30066,Nick L - ironick#50169,2-1,,1,,,,,,,
4/10/2022 21:50:56,Jake C - the_man_mulcahey#74753,Jordan P - chunkieluver53#92811,2-0,,1,,,,,,,
4/10/2022 22:23:49,Johnny M - Johnny#69519,Maranda L - BlackCanary#59791,2-1,,1,,,,,,,
4/10/2022 22:34:35,Jake C - the_man_mulcahey#74753,Raphael T - bograts#18620,2-0,,1,(pack was manually generated),,,,,,
,,,,,,double reported match,,,,,,
4/10/2022 23:06:46,Jeremy E - Lhurgoyf#37289,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,,,,,
4/10/2022 23:39:52,Jeremy E - Lhurgoyf#37289,Olivier F - NephilimOli#21523,2-1,,1,ggs!,,,,,,
4/11/2022 0:31:55,Joel L - Instinctive#21903,Sylvain T - Iquitos#15484,2-0,,1,gg wp,,,,,,
4/11/2022 0:45:55,Sawyer T - soyboy#35469,Adam S - wizma#29010,2-0,,1,,,,,,,
4/11/2022 10:32:03,Cody-Rayce M-G - Rayce#56572,Sylvain T - Iquitos#15484,2-1,,1,ggs,,,,,,
4/11/2022 10:54:39,Nick L - ironick#50169,Ben A - JankInTheTank#50714,2-0,,1,,,,,,,
4/11/2022 15:14:28,Ben A - JankInTheTank#50714,Tony G - YnotRock#76764,2-0,,1,,,,,,,
4/11/2022 15:56:57,Maranda L - BlackCanary#59791,Tony G - YnotRock#76764,2-0,,1,,,,,,,
4/11/2022 18:02:23,Coleman N - avo#92320,Nick L - ironick#50169,2-0,,1,,,,,,,
4/11/2022 18:34:26,Sawyer T - soyboy#35469,Emmett F - Sepulchure#51526,2-1,,1,,,,,,,
4/11/2022 19:18:33,Coleman N - avo#92320,Robby P - Locke_009#22200,2-0,,1,,,,,,,
4/11/2022 19:31:42,Emmett F - Sepulchure#51526,Joseph H - JoCool#84350,2-0,,1,,,,,,,
4/11/2022 20:13:22,Emmett F - Sepulchure#51526,Russell S - rstad#89052,2-1,,1,,,,,,,
4/11/2022 22:16:16,Sawyer T - soyboy#35469,Raphael T - bograts#18620,2-0,,1,(pack manually generated by Sawyer),,,,,,
4/11/2022 23:07:42,Pierre-Marc D - pmduguay#67919,Johnny M - Johnny#69519,2-0,,1,,,,,,,
4/11/2022 23:49:50,Olivier F - NephilimOli#21523,Sylvain T - Iquitos#15484,2-0,,1,,,,,,,
4/12/2022 1:01:12,Jake C - the_man_mulcahey#74753,Sylvain T - Iquitos#15484,2-0,,1,,,,,,,
4/12/2022 15:27:50,Sawyer T - soyboy#35469,Chris R - Sinkwater#27508,2-0,,1,,,,,,,
4/12/2022 16:06:18,Richard K - preacher26#59445,Chris R - Sinkwater#27508,2-0,,1,,,,,,,
4/12/2022 17:08:31,Chris R - Sinkwater#27508,John L - fightstrife#66069,2-1,,1,,,,,,,
4/12/2022 17:41:39,John L - fightstrife#66069,Ryan W - MuttBunchies#61653,2-0,,1,ggs Ryan! ,,,,,,
4/12/2022 20:07:20,Andrew A - Mapo Dofu#77365,Audi J - Squeakz#38671,2-0,,1,,,,,,,
4/12/2022 21:02:42,Russell S - rstad#89052,Chris R - Sinkwater#27508,2-0,,1,,,,,,,
4/12/2022 21:29:29,Christopher G - oompaloompa#65002,Andrew A - Mapo Dofu#77365,2-1,,1,,,,,,,
4/12/2022 22:08:30,Coleman N - avo#92320,Ryan D - TheSlickness#10857,2-1,,1,,,,,,,
4/12/2022 23:04:51,Mitchel S - SpaghettiMitch#18619,Damian S - ButCrackMagic#71223,2-1,,1,double misplay league,,,,,,
4/13/2022 0:18:19,Jake C - the_man_mulcahey#74753,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,,,,,
4/13/2022 0:59:44,Emmett F - Sepulchure#51526,Jake C - the_man_mulcahey#74753,2-0,,1,Incredibly close games,,,,,,
4/13/2022 17:46:51,Ben A - JankInTheTank#50714,Joel L - Instinctive#21903,2-1,,1,,,,,,,
4/13/2022 18:26:56,Nik S - njsiii#50504,Michael M - Atombomb11991#07305,2-0,,1,,,,,,,
4/13/2022 19:55:44,John P - gokuorgohome#51511,Michael M - Atombomb11991#07305,2-1,,1,,,,,,,
4/13/2022 20:59:52,Daniel M - HPWizard#40332,Sean L - dankesean#67393,2-1,,1,,,,,,,
4/13/2022 21:39:02,Justin P - Code Pigeon#84057,Ryan D - TheSlickness#10857,2-1,,1,,,,,,,
4/13/2022 22:05:26,Justin P - Code Pigeon#84057,Joel L - Instinctive#21903,2-1,,1,,,,,,,
4/14/2022 13:25:53,Tony G - YnotRock#76764,Zeke W - smarmyplatapus#30066,2-1,,1,,,,,,,
4/14/2022 18:17:21,Caleb G - Whynaut#28590,Tony G - YnotRock#76764,2-1,,1,,,,,,,
4/14/2022 18:55:55,Emmett F - Sepulchure#51526,Daniel J - Insequent#82225,2-0,,1,,,,,,,
4/14/2022 20:00:59,Christopher G - oompaloompa#65002,Audi J - Squeakz#38671,2-0,,1,,,,,,,
4/14/2022 22:30:53,Damian S - ButCrackMagic#71223,Joseph H - JoCool#84350,2-0,,1,,,,,,,
4/14/2022 22:43:40,Nik S - njsiii#50504,Shuo L - Tamamo#30654,2-0,,1,,,,,,,
4/14/2022 23:02:38,John L - fightstrife#66069,Daniel J - Insequent#82225,2-0,,1,,,,,,,
4/14/2022 23:17:42,Daniel M - HPWizard#40332,Sylvain T - Iquitos#15484,2-1,,1,,,,,,,
4/15/2022 0:08:36,Raphael T - bograts#18620,Daniel M - HPWizard#40332,2-1,,1,,,,,,,
4/15/2022 11:21:34,Richard K - preacher26#59445,Ben A - JankInTheTank#50714,2-0,,1,,,,,,,
4/15/2022 12:21:35,Jaidin M - MnemonicDevice#38774,Ben A - JankInTheTank#50714,2-1,,1,The shuffler strikes again,,,,,,
4/15/2022 12:55:21,Shuo L - Tamamo#30654,Jaidin M - MnemonicDevice#38774,2-0,,1,,,,,,,
4/15/2022 14:02:27,Jaidin M - MnemonicDevice#38774,Audi J - Squeakz#38671,2-0,,1,,,,,,,
4/15/2022 19:07:51,Caleb G - Whynaut#28590,Emmett F - Sepulchure#51526,2-1,,1,,,,,,,
4/15/2022 19:28:24,Maxime R - Tasigurr#89921,Robby P - Locke_009#22200,2-0,,1,,,,,,,
4/15/2022 20:20:29,Coleman N - avo#92320,Robby P - Locke_009#22200,2-0,,1,,,,,,,
4/15/2022 21:07:10,Maxime R - Tasigurr#89921,Russell S - rstad#89052,2-1,,1,,,,,,,
4/15/2022 21:51:53,Patrick M - FullestJ#22936,Sawyer T - soyboy#35469,2-1,,1,,,,,,,
4/15/2022 22:11:43,Daniel J - Insequent#82225,Maranda L - BlackCanary#59791,2-0,,1,,,,,,,
4/15/2022 23:02:55,Zeke W - smarmyplatapus#30066,Maranda L - BlackCanary#59791,2-0,,1,,,,,,,
4/15/2022 23:05:06,Daniel J - Insequent#82225,Steve T - strout#45062,2-0,,1,,,,,,,
4/15/2022 23:36:29,Emmett F - Sepulchure#51526,Zeke W - smarmyplatapus#30066,2-0,,1,,,,,,,
4/16/2022 0:17:55,Steve T - strout#45062,Jeremy E - Lhurgoyf#37289,2-1,,1,,,,,,,
4/16/2022 0:42:31,Steve T - strout#45062,Olivier F - NephilimOli#21523,2-0,,1,,,,,,,
4/16/2022 1:18:05,Maxime R - Tasigurr#89921,Maranda L - BlackCanary#59791,2-0,,1,,,,,,,
4/16/2022 1:44:09,Maxime R - Tasigurr#89921,Johnny M - Johnny#69519,2-0,,1,,,,,,,
4/16/2022 9:52:01,Jordan P - chunkieluver53#92811,Nik S - njsiii#50504,2-0,,1,,,,,,,
4/16/2022 13:29:36,Patrick M - FullestJ#22936,Jordan P - chunkieluver53#92811,2-0,,1,,,,,,,
4/16/2022 15:00:20,Nik S - njsiii#50504,Russell S - rstad#89052,2-1,,1,,,,,,,
4/16/2022 17:20:43,Richard K - preacher26#59445,Coleman N - avo#92320,2-0,,1,,,,,,,
4/17/2022 10:55:30,Ryan W - MuttBunchies#61653,Nik S - njsiii#50504,2-1,,1,,,,,,,
4/17/2022 11:59:17,Emmett F - Sepulchure#51526,Ryan W - MuttBunchies#61653,2-0,,1,,,,,,,
4/17/2022 12:20:10,Jordan P - chunkieluver53#92811,Emmett F - Sepulchure#51526,2-0,,1,,,,,,,
4/17/2022 12:29:40,Nik S - njsiii#50504,Shuo L - Tamamo#30654,2-1,,1,,,,,,,
4/17/2022 13:10:49,Jordan P - chunkieluver53#92811,Chris R - Sinkwater#27508,2-1,,1,,,,,,,
4/17/2022 13:52:56,Ryan W - MuttBunchies#61653,Shuo L - Tamamo#30654,2-1,,1,,,,,,,
4/17/2022 14:43:42,Caleb G - Whynaut#28590,Patrick M - FullestJ#22936,2-1,,1,,,,,,,
4/17/2022 15:08:24,Caleb G - Whynaut#28590,John P - gokuorgohome#51511,2-1,,1,,,,,,,
4/17/2022 15:08:49,Jordan P - chunkieluver53#92811,Chris Y - Yorke on Games#66909,2-0,,1,,,,,,,
4/17/2022 16:34:36,John P - gokuorgohome#51511,Jeremy E - Lhurgoyf#37289,2-1,,1,,,,,,,
4/17/2022 17:57:36,Caleb G - Whynaut#28590,Maxime R - Tasigurr#89921,2-1,,1,,,,,,,
4/17/2022 19:55:31,Richard K - preacher26#59445,Ryan D - TheSlickness#10857,2-1,,1,,,,,,,
4/17/2022 20:30:43,Steve T - strout#45062,Patrick M - FullestJ#22936,2-1,,1,,,,,,,
4/17/2022 20:48:59,Olivier F - NephilimOli#21523,Sean L - dankesean#67393,2-1,,1,,,,,,,
4/17/2022 21:00:26,Jake C - the_man_mulcahey#74753,Daniel J - Insequent#82225,2-1,,1,,,,,,,
4/17/2022 21:31:27,Andrew A - Mapo Dofu#77365,Sean L - dankesean#67393,2-1,,1,,,,,,,
4/17/2022 21:52:41,Daniel J - Insequent#82225,Zeke W - smarmyplatapus#30066,2-0,,1,,,,,,,
4/17/2022 22:10:30,Adam S - wizma#29010,Johnny M - Johnny#69519,2-0,,1,Good games!,,,,,,
4/17/2022 23:59:23,Steve T - strout#45062,Adam S - wizma#29010,2-1,,1,,,,,,,
4/18/2022 13:35:35,Olivier F - NephilimOli#21523,Robby P - Locke_009#22200,2-0,,1,,,,,,,
4/18/2022 14:35:01,Ben A - JankInTheTank#50714,Sawyer T - soyboy#35469,2-1,,1,,,,,,,
4/18/2022 18:24:50,Sawyer T - soyboy#35469,John P - gokuorgohome#51511,2-0,,1,,,,,,,
4/18/2022 18:54:15,John P - gokuorgohome#51511,Ryan W - MuttBunchies#61653,2-0,,1,,,,,,,
4/18/2022 19:00:53,Chris Y - Yorke on Games#66909,Justin P - Code Pigeon#84057,2-1,,1,,,,,,,
4/18/2022 20:13:39,Justin P - Code Pigeon#84057,John P - gokuorgohome#51511,2-0,,1,,,,,,,
4/18/2022 20:15:23,Cody-Rayce M-G - Rayce#56572,Russell S - rstad#89052,2-0,,1,ggs,,,,,,
4/18/2022 20:56:56,Justin P - Code Pigeon#84057,Coleman N - avo#92320,2-1,,1,,,,,,,
4/18/2022 21:28:39,Justin P - Code Pigeon#84057,Caleb G - Whynaut#28590,2-0,,1,,,,,,,
4/18/2022 21:36:22,Russell S - rstad#89052,Andrew A - Mapo Dofu#77365,2-0,,1,,,,,,,
4/18/2022 22:25:53,Cody-Rayce M-G - Rayce#56572,Zeke W - smarmyplatapus#30066,2-0,,1,ggs!,,,,,,
4/18/2022 22:47:52,Cody-Rayce M-G - Rayce#56572,Raphael T - bograts#18620,2-0,,1,ggs!,,,,,,
4/18/2022 23:13:37,Jeremy E - Lhurgoyf#37289,Chris Y - Yorke on Games#66909,2-0,,1,,,,,,,
4/18/2022 23:21:55,Olivier F - NephilimOli#21523,Cody-Rayce M-G - Rayce#56572,2-1,,1,,,,,,,
4/18/2022 23:43:16,Cody-Rayce M-G - Rayce#56572,Chris Y - Yorke on Games#66909,2-0,,1,ggs rip mana,,,,,,
4/19/2022 0:42:59,Chris Y - Yorke on Games#66909,Jake C - the_man_mulcahey#74753,2-1,,1,,,,,,,
4/19/2022 1:48:19,Sawyer T - soyboy#35469,Joel L - Instinctive#21903,2-0,,1,,,,,,,
4/19/2022 11:46:31,Ben A - JankInTheTank#50714,Jake C - the_man_mulcahey#74753,2-0,,1,,,,,,,
4/19/2022 20:33:33,Emmett F - Sepulchure#51526,Michael M - Atombomb11991#07305,2-0,,1,,,,,,,
4/19/2022 20:59:14,Damian S - ButCrackMagic#71223,Andrew A - Mapo Dofu#77365,2-1,,1,,,,,,,
4/19/2022 21:54:28,Mitchel S - SpaghettiMitch#18619,Raphael T - bograts#18620,2-0,,1,,,,,,,
4/19/2022 22:17:59,Russell S - rstad#89052,Joel L - Instinctive#21903,2-0,,1,,,,,,,
4/19/2022 22:57:17,Damian S - ButCrackMagic#71223,Joel L - Instinctive#21903,2-1,,1,,,,,,,
4/19/2022 23:08:53,Mitchel S - SpaghettiMitch#18619,Coleman N - avo#92320,2-0,,1,,,,,,,
4/19/2022 23:36:13,Pierre-Marc D - pmduguay#67919,Jeremy E - Lhurgoyf#37289,2-0,,1,,,,,,,
4/20/2022 0:09:58,Adam S - wizma#29010,Tony G - YnotRock#76764,2-1,,1,Great games ,,,,,,
4/20/2022 0:11:42,Pierre-Marc D - pmduguay#67919,Sylvain T - Iquitos#15484,2-0,,1,,,,,,,
4/20/2022 1:03:14,Sylvain T - Iquitos#15484,Tony G - YnotRock#76764,2-0,,1,good games!,,,,,,
4/20/2022 10:52:52,Pierre-Marc D - pmduguay#67919,Nick L - ironick#50169,2-0,,1,,,,,,,
4/20/2022 11:49:34,Nick L - ironick#50169,Jaidin M - MnemonicDevice#38774,2-1,,1,,,,,,,
