Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Winner Game Wins,Loser Game Wins,Week,Week Value,Week Start (PST)
2/19/2022 1:53:37,Zeke W - smarmyplatapus#30066,Gabriel L - gabeisgunk#67806,2-0,,1,,,,,,,
2/19/2022 1:56:26,Derek G - Czark#07914,Sylvain T - Iquitos#15484,2-0,,1,,,,,,,
2/19/2022 2:10:38,Gordon C - Chocobro#30910,Grey H - grensley#29260,2-1,,1,,,,,,,
2/19/2022 2:24:46,Ben DP - bdp18#67423,Johnny M - Johnny#69519,2-1,,1,,,,,,,
2/19/2022 3:07:15,Johnny M - Johnny#69519,Zeke W - smarmyplatapus#30066,2-0,,1,,,,,,,
2/19/2022 4:13:14,Helge B - turd_burglar#45671,Santino T - DuckpuBZ#55688,2-0,,1,,,,,,,
,,,,,1,double reported match - JM,,,,,,
2/19/2022 6:37:05,Zeke W - smarmyplatapus#30066,Martin E - Meep#87492,2-1,,,,,,,,,
2/19/2022 8:09:31,Helge B - turd_burglar#45671,Harry B - Midnight_0il#97781,2-0,,1,,,,,,,
2/19/2022 8:49:23,Lorenz K - LHeHo#26216,Mats K - MakroGames#12872,2-1,,1,,,,,,,
2/19/2022 10:19:51,Mats K - MakroGames#12872,Mike P - UnwieldyBiscuit#26471,2-0,,1,,,,,,,
2/19/2022 10:24:58,Lorenz K - LHeHo#26216,Brian R - admiral_ace#37121,2-1,,1,,,,,,,
2/19/2022 10:53:02,Mats K - MakroGames#12872,Keith S - Wittet#06465,2-1,,1,,,,,,,
2/19/2022 10:55:25,Lorenz K - LHeHo#26216,Cody-Rayce MG - Rayce#56572,2-0,,1,,,,,,,
2/19/2022 11:12:33,Andrew A - Mapo Dofu#77365,Derek G - Czark#07914,2-0,,1,,,,,,,
2/19/2022 11:24:14,Johnny M - Johnny#69519,Keith S - Wittet#06465,2-0,,1,,,,,,,
2/19/2022 11:35:29,Brian R - admiral_ace#37121,Mike P - UnwieldyBiscuit#26471,2-0,,1,,,,,,,
2/19/2022 12:02:54,Keith S - Wittet#06465,Ryan D - TheSlickness#10857,2-1,,1,,,,,,,
2/19/2022 12:11:29,Johnny M - Johnny#69519,Ryan W - MuttBunchies#61653,2-0,,1,,,,,,,
2/19/2022 13:12:03,Russell S - rstad#89052,Erika P - CharmToy#24980,2-1,,1,,,,,,,
2/19/2022 13:12:25,Maranda L - BlackCanary#59791,Stephen W - Biceps_Inc#28236,2-1,,1,,,,,,,
2/19/2022 14:08:27,Brian R - admiral_ace#37121,Stephen W - Biceps_Inc#28236,2-1,,1,,,,,,,
2/19/2022 14:40:13,Emmett F - Sepulchure#51526,Gordon C - Chocobro#30910,2-1,,1,,,,,,,
2/19/2022 15:00:55,Jaidin M - MnemonicDevice#38774,Maranda L - BlackCanary#59791,2-0,,1,,,,,,,
2/19/2022 15:01:41,Shuo L - Tamamo#30654,Johnny M - Johnny#69519,2-1,,1,,,,,,,
2/19/2022 15:15:35,Brian R - admiral_ace#37121,Coleman N - avo#92320,2-0,,1,,,,,,,
2/19/2022 15:55:10,Jaidin M - MnemonicDevice#38774,Michael L - JimmyPlays#62350,2-0,,1,Tameshi + Kunai,,,,,,
2/19/2022 16:11:56,Lorenz K - LHeHo#26216,Nicholas P - AmI3vil?#84889,2-0,,,,,,,,,
2/19/2022 16:22:03,Sawyer T - soyboy#35469,Shuo L - Tamamo#30654,2-1,,1,,,,,,,
2/19/2022 16:44:44,Krzys H - FaceBeardMcBeard#24731,Beau G - Beaudacious#41986,2-1,,1,,,,,,,
2/19/2022 16:45:09,Michael L - JimmyPlays#62350,Chris S - LordBooBoo#20683,2-1,,1,,,,,,,
2/19/2022 17:16:51,Krzys H - FaceBeardMcBeard#24731,Lorenz K - LHeHo#26216,2-1,,1,,,,,,,
2/19/2022 17:43:30,Michael M - Atombomb11991#07305,Nicholas P - AmI3vil?#84889,2-1,,1,,,,,,,
2/19/2022 17:47:01,Ben DP - bdp18#67423,Audi J - Squeakz#38671,2-1,,1,,,,,,,
2/19/2022 19:02:27,Ahu S - Wily_bandar#26808,Maranda L - BlackCanary#59791,2-1,,1,,,,,,,
2/19/2022 19:14:41,Ryan D - TheSlickness#10857,Nicholas L - PlayOnBirds#63476,2-1,,1,,,,,,,
2/19/2022 20:05:01,Chris R - Sinkwater#27508,John L - fightstrife#66069,2-0,,1,,,,,,,
2/19/2022 20:06:33,Sawyer T - soyboy#35469,Aus Z - ImperialPlaneswalker#40420,2-1,,1,,,,,,,
2/19/2022 20:36:40,Emmett F - Sepulchure#51526,Krzys H - FaceBeardMcBeard#24731,2-0,,1,,,,,,,
2/19/2022 21:02:37,Doug C - dougisacat#58521,Ahu S - Wily_bandar#26808,2-0,,1,Reality chip,,,,,,
2/19/2022 21:25:21,Joe T - elasticity#07466,Chris R - Sinkwater#27508,2-1,,1,,,,,,,
2/19/2022 21:37:28,Doug C - dougisacat#58521,Andrew A - Mapo Dofu#77365,2-0,,1,Grave titan,,,,,,
2/19/2022 21:49:12,Krzys H - FaceBeardMcBeard#24731,Nicholas P - AmI3vil?#84889,2-1,,,,,,,,,
2/19/2022 22:00:13,Jay S - Trainyaj#13755,Emmett F - Sepulchure#51526,2-1,,1,,,,,,,
2/19/2022 23:22:13,Pierre-Marc D - pmduguay#67919,Maranda L - BlackCanary#59791,2-1,,1,,,,,,,
2/19/2022 23:47:24,Aus Z - ImperialPlaneswalker#40420,Audi J - Squeakz#38671,2-1,,1,,,,,,,
2/20/2022 0:09:03,Doug C - dougisacat#58521,Chris G - MachineKingV#13646,2-0,,1,reality chip,,,,,,
2/20/2022 0:13:41,Jaidin M - MnemonicDevice#38774,Erika P - CharmToy#24980,2-0,,1,,,,,,,
2/20/2022 0:49:53,Maranda L - BlackCanary#59791,Rowan C - rcb#09642,2-1,,1,,,,,,,
2/20/2022 0:53:04,Erika P - CharmToy#24980,Chris G - MachineKingV#13646,2-0,,1,,,,,,,
2/20/2022 0:59:49,Jason M - experientialist#23057,Gordon C - Chocobro#30910,2-1,,1,,,,,,,
2/20/2022 1:57:51,Audi J - Squeakz#38671,Chris S - LordBooBoo#20683,2-1,,1,,,,,,,
2/20/2022 2:17:33,Rowan C - rcb#09642,Ben DP - bdp18#67423,2-1,,1,,,,,,,
2/20/2022 10:23:16,Erika P - CharmToy#24980,Martin E - Meep#87492,2-0,,1,,,,,,,
2/20/2022 10:33:42,Nicholas P - AmI3vil?#84889,Robby P - Locke_009#22200,2-0,,1,GGs!,,,,,,
2/20/2022 10:40:47,Erika P - CharmToy#24980,Shane K - Malfunction#68287,2-0,,1,,,,,,,
2/20/2022 11:13:15,Nicholas P - AmI3vil?#84889,Helge B - turd_burglar#45671,2-0,,1,GGs!,,,,,,
2/20/2022 11:33:53,Chris G - MachineKingV#13646,Shane K - Malfunction#68287,2-0,,1,,,,,,,
2/20/2022 11:40:15,John P - gokuorgohome#51511,Joseph H - JoCool#84350,2-0,,1,,,,,,,
2/20/2022 11:57:28,Chris G - MachineKingV#13646,Chris R - Sinkwater#27508,2-0,,1,,,,,,,
2/20/2022 13:27:46,Jay S - Trainyaj#13755,Ryan D - TheSlickness#10857,2-1,,1,,,,,,,
2/20/2022 13:36:49,Nelson K - accpi#18634,Michael L - JimmyPlays#62350,2-1,,1,,,,,,,
